tiempo_id,fecha,anio,mes,nombre_mes,dia,trimestre,dia_semana_num,dia_semana_nombre
20230101,2023-01-01,2023,1,Enero,1,1,6,Domingo
20230102,2023-01-02,2023,1,Enero,2,1,0,Lunes
20230103,2023-01-03,2023,1,Enero,3,1,1,Martes
20230104,2023-01-04,2023,1,Enero,4,1,2,Miã©rcoles
20230105,2023-01-05,2023,1,Enero,5,1,3,Jueves
20230106,2023-01-06,2023,1,Enero,6,1,4,Viernes
20230107,2023-01-07,2023,1,Enero,7,1,5,Sã¡bado
20230108,2023-01-08,2023,1,Enero,8,1,6,Domingo
20230109,2023-01-09,2023,1,Enero,9,1,0,Lunes
20230110,2023-01-10,2023,1,Enero,10,1,1,Martes
20230111,2023-01-11,2023,1,Enero,11,1,2,Miã©rcoles
20230112,2023-01-12,2023,1,Enero,12,1,3,Jueves
20230113,2023-01-13,2023,1,Enero,13,1,4,Viernes
20230114,2023-01-14,2023,1,Enero,14,1,5,Sã¡bado
20230115,2023-01-15,2023,1,Enero,15,1,6,Domingo
20230116,2023-01-16,2023,1,Enero,16,1,0,Lunes
20230117,2023-01-17,2023,1,Enero,17,1,1,Martes
20230118,2023-01-18,2023,1,Enero,18,1,2,Miã©rcoles
20230119,2023-01-19,2023,1,Enero,19,1,3,Jueves
20230120,2023-01-20,2023,1,Enero,20,1,4,Viernes
20230121,2023-01-21,2023,1,Enero,21,1,5,Sã¡bado
20230122,2023-01-22,2023,1,Enero,22,1,6,Domingo
20230123,2023-01-23,2023,1,Enero,23,1,0,Lunes
20230124,2023-01-24,2023,1,Enero,24,1,1,Martes
20230125,2023-01-25,2023,1,Enero,25,1,2,Miã©rcoles
20230126,2023-01-26,2023,1,Enero,26,1,3,Jueves
20230127,2023-01-27,2023,1,Enero,27,1,4,Viernes
20230128,2023-01-28,2023,1,Enero,28,1,5,Sã¡bado
20230129,2023-01-29,2023,1,Enero,29,1,6,Domingo
20230130,2023-01-30,2023,1,Enero,30,1,0,Lunes
20230131,2023-01-31,2023,1,Enero,31,1,1,Martes
20230201,2023-02-01,2023,2,Febrero,1,1,2,Miã©rcoles
20230202,2023-02-02,2023,2,Febrero,2,1,3,Jueves
20230203,2023-02-03,2023,2,Febrero,3,1,4,Viernes
20230204,2023-02-04,2023,2,Febrero,4,1,5,Sã¡bado
20230205,2023-02-05,2023,2,Febrero,5,1,6,Domingo
20230206,2023-02-06,2023,2,Febrero,6,1,0,Lunes
20230207,2023-02-07,2023,2,Febrero,7,1,1,Martes
20230208,2023-02-08,2023,2,Febrero,8,1,2,Miã©rcoles
20230209,2023-02-09,2023,2,Febrero,9,1,3,Jueves
20230210,2023-02-10,2023,2,Febrero,10,1,4,Viernes
20230211,2023-02-11,2023,2,Febrero,11,1,5,Sã¡bado
20230212,2023-02-12,2023,2,Febrero,12,1,6,Domingo
20230213,2023-02-13,2023,2,Febrero,13,1,0,Lunes
20230214,2023-02-14,2023,2,Febrero,14,1,1,Martes
20230215,2023-02-15,2023,2,Febrero,15,1,2,Miã©rcoles
20230216,2023-02-16,2023,2,Febrero,16,1,3,Jueves
20230217,2023-02-17,2023,2,Febrero,17,1,4,Viernes
20230218,2023-02-18,2023,2,Febrero,18,1,5,Sã¡bado
20230219,2023-02-19,2023,2,Febrero,19,1,6,Domingo
20230220,2023-02-20,2023,2,Febrero,20,1,0,Lunes
20230221,2023-02-21,2023,2,Febrero,21,1,1,Martes
20230222,2023-02-22,2023,2,Febrero,22,1,2,Miã©rcoles
20230223,2023-02-23,2023,2,Febrero,23,1,3,Jueves
20230224,2023-02-24,2023,2,Febrero,24,1,4,Viernes
20230225,2023-02-25,2023,2,Febrero,25,1,5,Sã¡bado
20230226,2023-02-26,2023,2,Febrero,26,1,6,Domingo
20230227,2023-02-27,2023,2,Febrero,27,1,0,Lunes
20230228,2023-02-28,2023,2,Febrero,28,1,1,Martes
20230301,2023-03-01,2023,3,Marzo,1,1,2,Miã©rcoles
20230302,2023-03-02,2023,3,Marzo,2,1,3,Jueves
20230303,2023-03-03,2023,3,Marzo,3,1,4,Viernes
20230304,2023-03-04,2023,3,Marzo,4,1,5,Sã¡bado
20230305,2023-03-05,2023,3,Marzo,5,1,6,Domingo
20230306,2023-03-06,2023,3,Marzo,6,1,0,Lunes
20230307,2023-03-07,2023,3,Marzo,7,1,1,Martes
20230308,2023-03-08,2023,3,Marzo,8,1,2,Miã©rcoles
20230309,2023-03-09,2023,3,Marzo,9,1,3,Jueves
20230310,2023-03-10,2023,3,Marzo,10,1,4,Viernes
20230311,2023-03-11,2023,3,Marzo,11,1,5,Sã¡bado
20230312,2023-03-12,2023,3,Marzo,12,1,6,Domingo
20230313,2023-03-13,2023,3,Marzo,13,1,0,Lunes
20230314,2023-03-14,2023,3,Marzo,14,1,1,Martes
20230315,2023-03-15,2023,3,Marzo,15,1,2,Miã©rcoles
20230316,2023-03-16,2023,3,Marzo,16,1,3,Jueves
20230317,2023-03-17,2023,3,Marzo,17,1,4,Viernes
20230318,2023-03-18,2023,3,Marzo,18,1,5,Sã¡bado
20230319,2023-03-19,2023,3,Marzo,19,1,6,Domingo
20230320,2023-03-20,2023,3,Marzo,20,1,0,Lunes
20230321,2023-03-21,2023,3,Marzo,21,1,1,Martes
20230322,2023-03-22,2023,3,Marzo,22,1,2,Miã©rcoles
20230323,2023-03-23,2023,3,Marzo,23,1,3,Jueves
