shipment_id,order_id,tiempo_shipped_id,tiempo_delivered_id,dias_en_transito,carrier,tracking_number,status
9000000000,1000000000,20241127.0,20241130.0,3,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED
9000000001,1000000001,20240201.0,20240205.0,4,Correo Argentino,TRK-S7JYRIGG48,READY
9000000002,1000000002,20250227.0,20250301.0,2,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED
9000000003,1000000003,,,4,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED
9000000004,1000000004,20240330.0,20240331.0,1,PICKUP,,DELIVERED
9000000005,1000000005,20240312.0,20240313.0,1,PICKUP,,DELIVERED
9000000006,1000000006,,,4,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED
9000000007,1000000007,20241112.0,20241115.0,3,Correo Argentino,TRK-EEAFDZHDID,DELIVERED
9000000008,1000000008,20240826.0,20240828.0,2,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED
9000000009,1000000009,20240331.0,20240403.0,3,Correo Argentino,TRK-M4QI31HO4X,SHIPPED
9000000010,1000000010,20240313.0,20240314.0,1,PICKUP,,DELIVERED
9000000011,1000000011,,,1,PICKUP,,DELIVERED
9000000012,1000000012,20240809.0,20240810.0,1,PICKUP,,DELIVERED
9000000013,1000000013,,,1,PICKUP,,SHIPPED
9000000014,1000000014,,,5,Correo Argentino,TRK-TEL745CSF0,SHIPPED
9000000015,1000000015,,,,Correo Argentino,,CANCELLED
9000000016,1000000016,,,5,Correo Argentino,TRK-2QJED48Q5H,DELIVERED
9000000017,1000000017,20250219.0,20250220.0,1,PICKUP,,DELIVERED
9000000018,1000000018,,,,Correo Argentino,,CANCELLED
9000000019,1000000019,,,4,Correo Argentino,TRK-LU2ZLGLEOH,DELIVERED
9000000020,1000000020,20240507.0,20240511.0,4,Correo Argentino,TRK-UD7KW642LM,DELIVERED
9000000021,1000000021,,,2,Correo Argentino,TRK-4588YSVCZA,DELIVERED
9000000022,1000000022,20240331.0,20240401.0,1,PICKUP,,DELIVERED
9000000023,1000000023,,,1,PICKUP,,DELIVERED
9000000024,1000000024,,,1,PICKUP,,DELIVERED
9000000025,1000000025,,,4,Correo Argentino,TRK-YJMLEQMJ1S,DELIVERED
9000000026,1000000026,20241213.0,20241216.0,3,Correo Argentino,TRK-IWZB9131BN,DELIVERED
9000000027,1000000027,20241203.0,20241206.0,3,Correo Argentino,TRK-F7ZF8SQ633,DELIVERED
9000000028,1000000028,20240518.0,20240522.0,4,Correo Argentino,TRK-NW8EX6WAQP,DELIVERED
9000000029,1000000029,,,5,Correo Argentino,TRK-SNH0E9H2BV,DELIVERED
9000000030,1000000030,,,1,PICKUP,,SHIPPED
9000000031,1000000031,,,1,PICKUP,,SHIPPED
9000000032,1000000032,,,2,Correo Argentino,TRK-AF3QHYH0G0,DELIVERED
9000000033,1000000033,20240608.0,20240609.0,1,PICKUP,,DELIVERED
9000000034,1000000034,20241117.0,20241118.0,1,PICKUP,,DELIVERED
9000000035,1000000035,20240112.0,20240113.0,1,PICKUP,,DELIVERED
9000000036,1000000036,20240925.0,20240928.0,3,Correo Argentino,TRK-JI1IJOL9GD,DELIVERED
9000000037,1000000037,20240127.0,20240131.0,4,Correo Argentino,TRK-B103OLM2ZZ,DELIVERED
9000000038,1000000038,20240202.0,20240203.0,1,PICKUP,,DELIVERED
9000000039,1000000039,20240523.0,20240524.0,1,PICKUP,,DELIVERED
9000000040,1000000040,,,,Correo Argentino,,CANCELLED
9000000041,1000000041,20240114.0,20240115.0,1,PICKUP,,DELIVERED
9000000042,1000000042,20240928.0,20240930.0,2,Correo Argentino,TRK-T6YEYXIY47,DELIVERED
9000000043,1000000043,20240522.0,20240527.0,5,Correo Argentino,TRK-4BKBFC142A,SHIPPED
9000000044,1000000044,,,2,Correo Argentino,TRK-OE8JOVHWT3,DELIVERED
9000000045,1000000045,20240202.0,20240207.0,5,Correo Argentino,TRK-78RSWE9YNS,DELIVERED
9000000046,1000000046,20240113.0,20240117.0,4,Correo Argentino,TRK-ENFRRYBCN7,DELIVERED
9000000047,1000000047,20240308.0,20240309.0,1,PICKUP,,DELIVERED
9000000048,1000000048,20240913.0,20240914.0,1,PICKUP,,READY
9000000049,1000000049,20240811.0,20240812.0,1,PICKUP,,DELIVERED
9000000050,1000000050,20240726.0,20240730.0,4,Correo Argentino,TRK-2UFL9MQ11P,DELIVERED
9000000051,1000000051,20240916.0,20240919.0,3,Correo Argentino,TRK-TL9JNTSSQA,DELIVERED
9000000052,1000000052,20241105.0,20241107.0,2,Correo Argentino,TRK-RK6C2JA3AN,DELIVERED
9000000053,1000000053,,,,Correo Argentino,,CANCELLED
9000000054,1000000054,20240316.0,20240317.0,1,PICKUP,,SHIPPED
9000000055,1000000055,,,1,PICKUP,,SHIPPED
9000000056,1000000056,,,3,Correo Argentino,TRK-F94E82XEU7,DELIVERED
