nps_id,cliente_sk,canal_id,tiempo_id,score,comment
13000000000,1083,1,20240601,10,
13000000001,1383,1,20240311,5,Volvería a comprar
13000000002,179,1,20240411,10,Atención muy buena
13000000003,566,1,20240630,7,Todo perfecto
13000000004,1004,1,20250205,8,Atención muy buena
13000000005,1261,1,20250614,10,Tardó un poco más de lo esperado
13000000006,1376,1,20240419,6,Todo perfecto
13000000007,837,1,20240703,3,Volvería a comprar
13000000008,994,1,20250721,7,Todo perfecto
13000000009,192,1,20240413,8,Entrega rápida y producto excelente
13000000010,1330,1,20241104,6,
13000000011,442,2,20250703,0,Atención muy buena
13000000012,57,1,20250430,7,Atención muy buena
13000000013,559,1,20250807,8,Entrega rápida y producto excelente
13000000014,130,1,20250416,10,Muy conforme con la calidad
13000000015,238,2,20240626,4,Volvería a comprar
13000000016,629,1,20250417,8,Entrega rápida y producto excelente
13000000017,1162,2,20240520,7,Entrega rápida y producto excelente
13000000018,80,2,20241005,9,Entrega rápida y producto excelente
13000000019,1233,2,20240319,2,Muy conforme con la calidad
13000000020,217,1,20240810,2,Entrega rápida y producto excelente
13000000021,1015,2,20250819,5,Volvería a comprar
13000000022,1086,2,20240408,7,Atención muy buena
13000000023,692,1,20240128,9,Muy conforme con la calidad
13000000024,960,1,20241026,6,Podría mejorar el empaque
13000000025,695,2,20250330,2,Volvería a comprar
13000000026,438,1,20250607,10,Volvería a comprar
13000000027,564,1,20250508,9,Muy conforme con la calidad
13000000028,1261,1,20250525,7,Volvería a comprar
13000000029,1122,2,20240610,4,Atención muy buena
13000000030,1427,1,20251006,5,Muy conforme con la calidad
13000000031,661,1,20240830,10,Podría mejorar el empaque
13000000032,1055,2,20250208,8,Todo perfecto
13000000033,321,2,20250308,8,Podría mejorar el empaque
13000000034,500,1,20240722,10,Atención muy buena
13000000035,544,1,20240618,8,Volvería a comprar
13000000036,1405,2,20240723,8,Atención muy buena
13000000037,952,1,20240831,5,Podría mejorar el empaque
13000000038,128,2,20241229,3,Entrega rápida y producto excelente
13000000039,342,2,20250702,8,Tardó un poco más de lo esperado
13000000040,19,2,20240521,3,Podría mejorar el empaque
13000000041,189,1,20240722,8,Muy conforme con la calidad
13000000042,797,1,20250907,4,Todo perfecto
13000000043,1004,2,20241211,8,Entrega rápida y producto excelente
13000000044,426,2,20250330,9,Todo perfecto
13000000045,1026,1,20250813,8,Muy conforme con la calidad
13000000046,812,2,20250419,7,
13000000047,994,1,20240313,10,Entrega rápida y producto excelente
13000000048,1171,2,20250723,10,
13000000049,1207,2,20250326,2,Podría mejorar el empaque
13000000050,1467,1,20241118,8,Todo perfecto
13000000051,1484,2,20240606,8,Muy conforme con la calidad
13000000052,815,1,20240523,9,Atención muy buena
13000000053,500,1,20240705,9,Todo perfecto
13000000054,1048,2,20241216,10,
13000000055,19,1,20240414,7,Entrega rápida y producto excelente
13000000056,804,2,20241005,7,Podría mejorar el empaque
13000000057,500,2,20241023,9,Entrega rápida y producto excelente
13000000058,1179,2,20250618,7,Podría mejorar el empaque
13000000059,902,2,20250405,9,Entrega rápida y producto excelente
