payment_id,order_id,tiempo_id,amount,method,status,transaction_ref
7000000000,1000000000,20241127.0,63636.0,CARD,PAID,TX-1HW3GM7Q6LFJ
7000000001,1000000001,,78146.4,GATEWAY,PENDING,
7000000002,1000000002,20250228.0,32064.6,CARD,PAID,TX-8PBOWVHD7B4I
7000000003,1000000003,,30855.0,CARD,PAID,TX-SQ97NPWQ6YK8
7000000004,1000000004,20240401.0,53451.75,CARD,PAID,TX-F7761XS1CXDC
7000000005,1000000005,20240313.0,29040.0,CASH,PAID,TX-RNWJHS1F8G0Y
7000000006,1000000006,,18442.5,CARD,REFUNDED,TX-X2AJGZ36N3FR
7000000007,1000000007,20241114.0,17535.0,CARD,PAID,TX-ZRHVYPGQTDRK
7000000008,1000000008,20240825.0,109011.0,CARD,PAID,TX-CHL80ZD8IP5O
7000000009,1000000009,20240331.0,16718.25,GATEWAY,PAID,TX-J2VP8C6ROCZQ
7000000010,1000000010,20240314.0,17787.0,TRANSFER,REFUNDED,TX-1UN1COQAVK65
7000000011,1000000011,,41309.4,CASH,PAID,TX-U5CXUHGK42O6
7000000012,1000000012,20240812.0,42688.8,CARD,PAID,TX-GS664FN80M9E
7000000013,1000000013,,123283.88,CASH,PAID,TX-BZOPSO6JPRZD
7000000014,1000000014,,15129.6,CARD,PAID,TX-AD0J2NGELHNC
7000000015,1000000015,,29659.2,CARD,FAILED,
7000000016,1000000016,,28642.8,GATEWAY,PAID,TX-Y2BIADVO9F18
7000000017,1000000017,20250220.0,80912.7,CARD,PAID,TX-O7MTCOYJ61AJ
7000000018,1000000018,,100107.9,GATEWAY,FAILED,
7000000019,1000000019,,46023.24,CARD,PAID,TX-EMS8E80975XQ
7000000020,1000000020,20240506.0,59895.0,CARD,PAID,TX-EZKXQ80I4527
7000000021,1000000021,,29659.2,CARD,PAID,TX-BE5NW8R3MU50
7000000022,1000000022,20240402.0,29040.0,TRANSFER,REFUNDED,TX-I1Q2G15R83Y7
7000000023,1000000023,,82764.0,CASH,PAID,TX-3TFFR8COO0FP
