order_id,tiempo_id,cliente_sk,canal_id,store_id,geografia_billing_sk,geografia_shipping_sk,subtotal,tax_amount,shipping_fee,total_amount,status,currency_code
1000000000,20241126.0,356,1,,1914.0,599,51600.0,10836.0,1200.0,63636.0,FULFILLED,ARS
1000000001,20240131.0,601,1,,2807.0,2538,63840.0,13406.4,900.0,78146.4,CREATED,ARS
1000000002,20250226.0,1234,1,,130.0,3067,25260.0,5304.6,1500.0,32064.6,FULFILLED,ARS
1000000003,20250301.0,156,1,,2669.0,511,25500.0,5355.0,0.0,30855.0,FULFILLED,ARS
1000000004,20240330.0,616,2,4.0,297.0,4,44175.0,9276.75,0.0,53451.75,FULFILLED,ARS
1000000005,20240312.0,614,2,2.0,727.0,2,24000.0,5040.0,0.0,29040.0,FULFILLED,ARS
1000000006,,188,1,,436.0,1152,14250.0,2992.5,1200.0,18442.5,REFUNDED,ARS
1000000007,20241111.0,17,1,,,2581,13500.0,2835.0,1200.0,17535.0,FULFILLED,ARS
1000000008,20240825.0,1148,1,,1022.0,494,89100.0,18711.0,1200.0,109011.0,FULFILLED,ARS
1000000009,20240330.0,1037,1,,101.0,978,12825.0,2693.25,1200.0,16718.25,PAID,ARS
1000000010,20240313.0,1336,2,1.0,,1,14700.0,3087.0,0.0,17787.0,REFUNDED,ARS
1000000011,,1239,2,4.0,1163.0,4,34140.0,7169.4,0.0,41309.4,FULFILLED,ARS
1000000012,20240809.0,1426,2,3.0,2393.0,3,35280.0,7408.8,0.0,42688.8,FULFILLED,ARS
1000000013,,862,2,1.0,346.0,1,101887.5,21396.38,0.0,123283.88,PAID,ARS
1000000014,,181,1,,1242.0,2921,11760.0,2469.6,900.0,15129.6,PAID,ARS
1000000015,20240915.0,700,1,,2272.0,807,23520.0,4939.2,1200.0,29659.2,CANCELLED,ARS
1000000016,,475,1,,589.0,2562,22680.0,4762.8,1200.0,28642.8,FULFILLED,ARS
1000000017,20250219.0,753,2,2.0,2056.0,2,66870.0,14042.7,0.0,80912.7,FULFILLED,ARS
1000000018,20240714.0,1151,1,,1716.0,1695,81990.0,17217.9,900.0,100107.9,CANCELLED,ARS
1000000019,,793,1,,1527.0,2616,37044.0,7779.24,1200.0,46023.24,FULFILLED,ARS
1000000020,20240506.0,866,1,,2937.0,2378,49500.0,10395.0,0.0,59895.0,FULFILLED,ARS
1000000021,,1110,1,,2250.0,1549,23520.0,4939.2,1200.0,29659.2,FULFILLED,ARS
1000000022,20240331.0,854,2,1.0,1466.0,1,24000.0,5040.0,0.0,29040.0,REFUNDED,ARS
1000000023,,379,2,3.0,2102.0,3,68400.0,14364.0,0.0,82764.0,FULFILLED,ARS
1000000024,,441,2,2.0,532.0,2,11760.0,2469.6,0.0,14229.6,FULFILLED,ARS
1000000025,,125,1,,1985.0,516,70087.5,14718.38,1200.0,86005.88,FULFILLED,ARS
1000000026,20241212.0,1201,1,,3168.0,301,13500.0,2835.0,1200.0,17535.0,FULFILLED,ARS
1000000027,20241202.0,1055,1,,2325.0,1862,22800.0,4788.0,900.0,28488.0,FULFILLED,ARS
1000000028,20240517.0,382,1,,342.0,1423,12000.0,2520.0,0.0,14520.0,FULFILLED,ARS
1000000029,,1456,1,,414.0,1425,64740.0,13595.4,900.0,79235.4,FULFILLED,ARS
1000000030,,1377,2,4.0,2585.0,4,34200.0,7182.0,0.0,41382.0,PAID,ARS
1000000031,,1375,2,4.0,928.0,4,23520.0,4939.2,0.0,28459.2,PAID,ARS
1000000032,,821,1,,2185.0,924,27000.0,5670.0,1200.0,33870.0,FULFILLED,ARS
1000000033,20240608.0,1475,2,4.0,2316.0,4,14700.0,3087.0,0.0,17787.0,FULFILLED,ARS
1000000034,20241117.0,634,2,2.0,1160.0,2,85387.5,17931.38,0.0,103318.88,FULFILLED,ARS
1000000035,20240112.0,585,2,1.0,2440.0,1,21600.0,4536.0,0.0,26136.0,FULFILLED,ARS
1000000036,20240924.0,180,1,,3142.0,1863,49800.0,10458.0,900.0,61158.0,FULFILLED,ARS
1000000037,20240126.0,482,1,,1548.0,2325,24696.0,5186.16,1200.0,31082.16,FULFILLED,ARS
1000000038,20240202.0,620,2,1.0,307.0,1,11760.0,2469.6,0.0,14229.6,FULFILLED,ARS
1000000039,20240523.0,603,2,1.0,3134.0,1,59160.0,12423.6,0.0,71583.6,FULFILLED,ARS
1000000040,20240304.0,1028,1,,2288.0,1149,11400.0,2394.0,1200.0,14994.0,CANCELLED,ARS
1000000041,20240114.0,1005,2,3.0,,3,24510.0,5147.1,0.0,29657.1,FULFILLED,ARS
1000000042,20240927.0,790,1,,742.0,33,10260.0,2154.6,1500.0,13914.6,FULFILLED,ARS
1000000043,20240521.0,665,1,,2230.0,2043,39600.0,8316.0,900.0,48816.0,PAID,ARS
1000000044,,562,1,,,1135,73500.0,15435.0,1500.0,90435.0,FULFILLED,ARS
1000000045,20240201.0,998,1,,2030.0,1984,36000.0,7560.0,900.0,44460.0,FULFILLED,ARS
1000000046,20240112.0,276,1,,,493,33000.0,6930.0,0.0,39930.0,FULFILLED,ARS
1000000047,20240308.0,1469,2,2.0,,2,10800.0,2268.0,0.0,13068.0,FULFILLED,ARS
1000000048,20240913.0,408,2,2.0,2369.0,2,23520.0,4939.2,0.0,28459.2,CREATED,ARS
