session_id,cliente_sk,tiempo_id,contador_sesion,duracion_sesion_seg,source,device
11000000000,791,20240202.0,1,660,ads,desktop
11000000001,332,,1,480,direct,desktop
11000000002,-1,20240604.0,1,120,email,mobile
11000000003,771,20240324.0,1,2400,ads,mobile
11000000004,908,20240822.0,1,780,direct,mobile
11000000005,1222,20240322.0,1,2340,referral,mobile
11000000006,490,20241003.0,1,1320,ads,mobile
11000000007,705,20241011.0,1,3240,ads,mobile
11000000008,1161,,1,540,direct,mobile
11000000009,841,20240430.0,1,780,ads,mobile
11000000010,-1,,1,2220,referral,mobile
11000000011,162,20240209.0,1,2100,social,mobile
11000000012,-1,20240305.0,1,,social,mobile
11000000013,1477,,1,3480,ads,mobile
11000000014,-1,20240612.0,1,180,social,mobile
11000000015,60,,1,3360,ads,desktop
11000000016,520,20240322.0,1,960,direct,mobile
11000000017,-1,20241102.0,1,2640,email,desktop
11000000018,-1,20240406.0,1,2700,direct,mobile
11000000019,-1,20240607.0,1,3360,ads,desktop
11000000020,575,20240528.0,1,2220,direct,mobile
11000000021,508,,1,2220,direct,desktop
11000000022,-1,20250118.0,1,900,ads,mobile
11000000023,-1,20240617.0,1,1980,ads,desktop
11000000024,99,20240811.0,1,2160,direct,mobile
11000000025,1277,,1,1260,ads,mobile
11000000026,-1,20240102.0,1,,direct,mobile
11000000027,95,,1,360,direct,tablet
11000000028,1286,,1,2340,direct,mobile
11000000029,1176,20240307.0,1,1260,direct,mobile
11000000030,1053,20241001.0,1,3240,ads,desktop
11000000031,290,20240727.0,1,600,ads,mobile
11000000032,357,20240117.0,1,1500,direct,mobile
11000000033,391,20240105.0,1,1080,ads,mobile
11000000034,830,,1,420,direct,desktop
11000000035,1076,,1,2160,ads,desktop
11000000036,-1,20240719.0,1,540,referral,mobile
11000000037,622,20250109.0,1,2880,email,desktop
11000000038,990,,1,60,social,mobile
11000000039,902,,1,1200,direct,desktop
11000000040,572,,1,,direct,mobile
11000000041,1088,20240122.0,1,480,direct,mobile
11000000042,1101,20241109.0,1,2880,referral,mobile
11000000043,833,20240531.0,1,3060,direct,mobile
11000000044,-1,20240603.0,1,1620,ads,mobile
11000000045,1371,20241228.0,1,240,direct,mobile
11000000046,1090,20240628.0,1,2820,direct,mobile
11000000047,250,20250219.0,1,240,direct,mobile
11000000048,135,,1,2760,direct,desktop
11000000049,334,20241124.0,1,1620,direct,mobile
11000000050,779,,1,2880,direct,mobile
11000000051,1396,20240124.0,1,1080,email,desktop
11000000052,-1,20240315.0,1,3000,ads,mobile
11000000053,-1,,1,120,direct,mobile
11000000054,732,,1,3000,direct,mobile
11000000055,1267,,1,840,ads,desktop
11000000056,298,20241129.0,1,1440,direct,mobile
11000000057,933,20241019.0,1,2580,ads,mobile
11000000058,550,20240225.0,1,1860,email,desktop
11000000059,-1,20240501.0,1,1440,direct,mobile
11000000060,342,,1,2040,social,mobile
11000000061,568,20240109.0,1,,referral,mobile
11000000062,498,20240823.0,1,1680,email,tablet
11000000063,-1,20250213.0,1,1620,ads,mobile
11000000064,1109,,1,780,direct,desktop
11000000065,1211,20240718.0,1,1200,ads,mobile
11000000066,1443,20241227.0,1,2940,direct,mobile
11000000067,811,20241001.0,1,720,email,desktop
11000000068,1160,,1,,direct,desktop
11000000069,455,20240330.0,1,2880,direct,mobile
11000000070,601,20240608.0,1,3360,direct,mobile
11000000071,431,20240831.0,1,720,ads,mobile
11000000072,-1,20240412.0,1,60,ads,desktop
11000000073,80,,1,2880,ads,mobile
11000000074,-1,20240315.0,1,,referral,mobile
11000000075,859,20241207.0,1,1740,direct,mobile
11000000076,-1,,1,1680,social,mobile
11000000077,-1,20240903.0,1,,referral,desktop
11000000078,233,20240220.0,1,1920,ads,mobile
11000000079,1176,20240219.0,1,3180,direct,desktop
11000000080,-1,,1,2100,direct,mobile
11000000081,-1,,1,1380,social,desktop
11000000082,181,20240924.0,1,60,direct,mobile
11000000083,1064,20240406.0,1,2820,ads,mobile
11000000084,166,,1,1680,direct,mobile
11000000085,1230,20240531.0,1,120,referral,mobile
11000000086,-1,20240422.0,1,360,referral,tablet
11000000087,747,20240120.0,1,1560,direct,mobile
11000000088,927,20240101.0,1,1980,ads,tablet
11000000089,1009,20250129.0,1,3600,direct,mobile
11000000090,1334,,1,,social,mobile
11000000091,51,20240929.0,1,1380,email,desktop
11000000092,1436,20241021.0,1,1500,referral,mobile
11000000093,859,20250120.0,1,2340,direct,desktop
11000000094,1298,20240922.0,1,1380,referral,mobile
11000000095,51,20241201.0,1,540,direct,mobile
11000000096,885,20241002.0,1,120,ads,mobile
11000000097,505,20240617.0,1,2460,direct,mobile
11000000098,-1,20240203.0,1,1560,ads,mobile
11000000099,1,20240211.0,1,1800,direct,mobile
11000000100,781,20241229.0,1,2760,direct,desktop
11000000101,540,20240328.0,1,660,ads,mobile
11000000102,-1,,1,2220,ads,mobile
11000000103,-1,,1,2880,direct,mobile
